"recipe_source_id","recipe_name","recipe_link","recipe_image","recipe_batch-id","id","recipe_stars","recipe_rating_cnt","recipe_author","recipe_created","recipe_comment_cnt","recipe_time","serve_cnt","serve_unit","sections","favourites_cnt","ingredient_nutrition_url"
"73807","Čočkový salát s baby špenátem","https://www.toprecepty.cz/recept/73807-cockovy-salat-s-baby-spenatem/","https://static.toprecepty.cz/fotky/recepty/0609/cockovy-salat-s-baby-spenatem-240806-270-160-exact.jpg","11","12","4,3","(4×)","maris","7. 3. 2023 14:04","4 názory","






        
												40 min
							
							
 (10 min 
 příprava + 30 min 
 tepelná úprava) 
				
","2","porce","['Suroviny']","





Přidat do oblíbených (2x)
					","https://www.toprecepty.cz/nutricni-hodnoty/73807"
"73806","Vepřová panenka zapečená v listovém těstě s pak choi a pórkem","https://www.toprecepty.cz/recept/73806-veprova-panenka-zapecena-v-listovem-teste-s-pak-choi-a-porkem/","https://static.toprecepty.cz/fotky/recepty/0609/veprova-panenka-zapecena-v-listovem-teste-s-pak-choi-a-porkem-240801-270-160-exact.jpg","11","12","0,0","(0×)","Marie Svarcova","7. 3. 2023 09:29","4 názory","






        
												30 min
							
							
 (15 min 
 příprava + 15 min 
 tepelná úprava) 
				
","2","porce","['Suroviny', '']","





Přidat do oblíbených (2x)
					","https://www.toprecepty.cz/nutricni-hodnoty/73806"
"73805","Mandlové kuličky s kakaem","https://www.toprecepty.cz/recept/73805-mandlove-kulicky-s-kakaem/","https://static.toprecepty.cz/fotky/recepty/0609/mandlove-kulicky-s-kakaem-240798-270-160-exact.jpg","11","12","5,0","(1×)","Michaela.Koc","7. 3. 2023 00:33","1 názor","






        
												15 min
							
							
 (15 min 
 příprava) 
				
","25","kusů","['Suroviny']","





Přidat do oblíbených (2x)
					","https://www.toprecepty.cz/nutricni-hodnoty/73805"
"73804","Tvarohové šišky s mákem","https://www.toprecepty.cz/recept/73804-tvarohove-sisky-s-makem/","https://static.toprecepty.cz/fotky/recepty/0609/tvarohove-sisky-s-makem-240797-270-160-exact.jpg","11","12","0,0","(0×)","Michaela.Koc","7. 3. 2023 00:31","0 názorů","






        
												30 min
							
							
 (20 min 
 příprava + 10 min 
 tepelná úprava) 
				
","2","porce","['Suroviny', 'Dále']","





Přidat do oblíbených (7x)
					","https://www.toprecepty.cz/nutricni-hodnoty/73804"
"73803","Kuřecí špízy a domácí krokety","https://www.toprecepty.cz/recept/73803-kureci-spizy-a-domaci-krokety/","https://static.toprecepty.cz/fotky/recepty/0609/kureci-spizy-a-domaci-krokety-240796-270-160-exact.jpg","11","12","0,0","(0×)","RubyRom","6. 3. 2023 21:23","2 názory","






        
												70 min
							
							
 (40 min 
 příprava + 30 min 
 tepelná úprava) 
				
","4","porce","['Suroviny', 'Krokety', 'Na obalení', 'Dále']","





Přidat do oblíbených (8x)
					","https://www.toprecepty.cz/nutricni-hodnoty/73803"
"73802","Šťavnatá kuřecí prsa","https://www.toprecepty.cz/recept/73802-stavnata-kureci-prsa/","https://static.toprecepty.cz/fotky/recepty/0609/stavnata-kureci-prsa-240795-270-160-exact.jpg","11","12","0,0","(0×)","Lenka Škulinová","6. 3. 2023 20:06","0 názorů","






        
												30 min
							
							
 (20 min 
 příprava + 10 min 
 tepelná úprava, +marinování) 
				
","2","porce","['Suroviny', 'Marináda']","





Přidat do oblíbených (2x)
					","https://www.toprecepty.cz/nutricni-hodnoty/73802"
"73801","Salát z červené řepy s jablky I.","https://www.toprecepty.cz/recept/73801-salat-z-cervene-repy-s-jablky-i/","https://static.toprecepty.cz/fotky/recepty/0609/salat-z-cervene-repy-s-jablkyi-240793-270-160-exact.jpg","11","12","5,0","(3×)","Lenka Škulinová","6. 3. 2023 19:47","1 názor","






        
												30 min
							
							
 (30 min 
 příprava) 
				
","3","porce","['Suroviny']","





Přidat do oblíbených (2x)
					","https://www.toprecepty.cz/nutricni-hodnoty/73801"
"73800","Piškotová roláda s čoko-tvarohovým krémem","https://www.toprecepty.cz/recept/73800-piskotova-rolada-s-coko-tvarohovym-kremem/","https://static.toprecepty.cz/fotky/recepty/0609/piskotova-rolada-s-coko-tvarohovym-kremem-240783-270-160-exact.jpg","11","12","5,0","(3×)","RubyRom","6. 3. 2023 11:27","10 názorů","






        
												47 min
							
							
 (40 min 
 příprava + 7 min 
 tepelná úprava) 
				
","1","kus","['Suroviny', 'Těsto', 'Krém']","





Přidat do oblíbených (19x)
					","https://www.toprecepty.cz/nutricni-hodnoty/73800"
"73799","Špagety se Salsa napoletana","https://www.toprecepty.cz/recept/73799-spagety-se-salsa-napoletana/","https://static.toprecepty.cz/fotky/recepty/0609/spagety-se-salsou-napoletana-240777-270-160-exact.jpg","11","12","0,0","(0×)","jannazz159","6. 3. 2023 09:52","1 názor","






        
												40 min
							
							
 (15 min 
 příprava + 25 min 
 tepelná úprava) 
				
","4","porce","['Suroviny']","





Přidat do oblíbených (2x)
					","https://www.toprecepty.cz/nutricni-hodnoty/73799"
"73798","Zeleninová polévka s černými fazolemi a těstovinami","https://www.toprecepty.cz/recept/73798-zeleninova-polevka-s-cernymi-fazolemi-a-testovinami/","https://static.toprecepty.cz/fotky/recepty/0609/zeleninova-polevka-s-cernymi-fazolemi-a-testovinami-240776-270-160-exact.jpg","11","12","5,0","(1×)","Marie Svarcova","6. 3. 2023 09:14","2 názory","






        
												35 min
							
							
 (10 min 
 příprava + 25 min 
 tepelná úprava) 
				
","4","porce","['Suroviny']","





Přidat do oblíbených (2x)
					","https://www.toprecepty.cz/nutricni-hodnoty/73798"
