"","recipe_source_id","recipe_name","recipe_link","recipe_image","id","recipe_stars","recipe_rating_cnt","recipe_author","recipe_created","recipe_comment_cnt","recipe_time","serve_cnt","serve_unit","sections","ingredient_nutrition_url"
"0","74078","Domácí rybí salát s domácí majonézou","https://www.toprecepty.cz/recept/74078-domaci-rybi-salat-s-domaci-majonezou/","https://static.toprecepty.cz/fotky/recepty/0656/domaci-rybi-salat-s-domaci-majonezou-245743-270-160-exact.jpg","1","5,0","(1×)","RubyRom","před 20 hodinami","2 názory","






        
												32 min
							
							
 (25 min 
 příprava + 7 min 
 tepelná úprava) 
				
","4","porce","['Suroviny', 'Rychlá domácí majonéza']","https://www.toprecepty.cz/nutricni-hodnoty/74078"
"1","74077","Banánový pohár s pudinkem","https://www.toprecepty.cz/recept/74077-bananovy-pohar-s-pudinkem/","https://static.toprecepty.cz/fotky/recepty/0656/bananovy-pohar-s-pudinkem-245739-270-160-exact.jpg","1","5,0","(1×)","Anna Kocikova","21. 4. 2023 13:42","2 názory","






        
												10 min
							
							
 (10 min 
 příprava) 
				
","3","porce","['Suroviny', 'Na ozdobení']","https://www.toprecepty.cz/nutricni-hodnoty/74077"
"2","74076","Květákové kari s cizrnou a kokosovým mlékem","https://www.toprecepty.cz/recept/74076-kvetakove-kari-s-cizrnou-a-kokosovym-mlekem/","https://static.toprecepty.cz/fotky/recepty/0656/kvetakove-kari-s-cizrnou-a-kokosovym-mlekem-245737-270-160-exact.jpg","1","5,0","(1×)","Marie Svarcova","21. 4. 2023 07:23","2 názory","






        
												22 min
							
							
 (5 min 
 příprava + 17 min 
 tepelná úprava) 
				
","2","porce","['Suroviny', 'K dokončení']","https://www.toprecepty.cz/nutricni-hodnoty/74076"
"3","74075","Pomalený králík s pečenými bramborami","https://www.toprecepty.cz/recept/74075-pomaleny-kralik-s-pecenymi-bramborami/","https://static.toprecepty.cz/fotky/recepty/0656/pomaleny-kralik-s-pecenym-bramborem-245736-270-160-exact.jpg","1","0,0","(0×)","Eevous","20. 4. 2023 22:04","0 názorů","






        
												360 min
							
							
 (20 min 
 příprava + 340 min 
 tepelná úprava) 
				
","4","porce","['Suroviny']","https://www.toprecepty.cz/nutricni-hodnoty/74075"
"4","74074","Zapečená cuketa s vařeným bramborem","https://www.toprecepty.cz/recept/74074-zapecena-cuketa-s-varenym-bramborem/","https://static.toprecepty.cz/fotky/recepty/0656/zapecena-cuketa-s-varenym-bramborem-245735-270-160-exact.jpg","1","5,0","(1×)","Eevous","20. 4. 2023 21:56","1 názor","






        
												55 min
							
							
 (15 min 
 příprava + 40 min 
 tepelná úprava) 
				
","2","porce","['Suroviny']","https://www.toprecepty.cz/nutricni-hodnoty/74074"
"5","74073","Mrkvičková polévka","https://www.toprecepty.cz/recept/74073-mrkvickova-polevka/","https://static.toprecepty.cz/fotky/recepty/0656/mrkvickova-polevka-245734-270-160-exact.jpg","1","0,0","(0×)","Eevous","20. 4. 2023 21:03","0 názorů","






        
												55 min
							
							
 (10 min 
 příprava + 45 min 
 tepelná úprava) 
				
","4","porce","['Suroviny']","https://www.toprecepty.cz/nutricni-hodnoty/74073"
"6","74072","Odlehčený katův šleh s rýží basmati","https://www.toprecepty.cz/recept/74072-odlehceny-katuv-sleh-s-ryzi-basmati/","https://static.toprecepty.cz/fotky/recepty/0656/odlehceny-katuv-sleh-s-ryzi-basmati-245732-270-160-exact.jpg","1","4,0","(1×)","Eevous","20. 4. 2023 20:52","0 názorů","






        
												40 min
							
							
 (10 min 
 příprava + 30 min 
 tepelná úprava) 
				
","2","porce","['Suroviny']","https://www.toprecepty.cz/nutricni-hodnoty/74072"
"7","74071","Žampionová pomazánka se smetanou a sýrem","https://www.toprecepty.cz/recept/74071-zampionova-pomazanka-se-smetanou-a-syrem/","https://static.toprecepty.cz/fotky/recepty/0656/zampionova-pomazanka-se-smetanou-a-syrem-245731-270-160-exact.jpg","1","5,0","(2×)","RubyRom","20. 4. 2023 18:22","6 názorů","






        
												45 min
							
							
 (20 min 
 příprava + 25 min 
 tepelná úprava) 
				
","1","dávka","['Suroviny']","https://www.toprecepty.cz/nutricni-hodnoty/74071"
"8","74070","Světlé fazolové brownies","https://www.toprecepty.cz/recept/74070-svetle-fazolove-brownies/","https://static.toprecepty.cz/fotky/recepty/0656/svetle-fazolove-brownies-245729-270-160-exact.jpg","1","0,0","(0×)","Eevous","20. 4. 2023 13:44","2 názory","






        
												35 min
							
							
 (10 min 
 příprava + 25 min 
 tepelná úprava) 
				
","18","kusů","['Suroviny', 'Na dozdobení']","https://www.toprecepty.cz/nutricni-hodnoty/74070"
"9","74068","Marinované maso s domácími hranolky","https://www.toprecepty.cz/recept/74068-marinovane-maso-s-domacimi-hranolky/","https://static.toprecepty.cz/fotky/recepty/0656/marinovane-maso-s-domacimi-hranolky-245726-270-160-exact.jpg","1","0,0","(0×)","Eevous","20. 4. 2023 11:08","0 názorů","






        
												135 min
							
							
 (70 min 
 příprava + 65 min 
 tepelná úprava) 
				
","2","porce","['Suroviny']","https://www.toprecepty.cz/nutricni-hodnoty/74068"
